Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,AD/average,Replicate ,Mutant,Condition ,Hour after treatment 
tvrR_T2h_csp_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,17.174,16.961,0.191,"165,974.70","192,994.86",,1,tvrR ,csp,2
tvrR_T2h_csp_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.805,16.961,0.191,"213,360.69","192,994.86",,1,tvrR ,csp,2
tvrR_T2h_csp_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.903,16.961,0.191,"199,649.19","192,994.86",,1,tvrR ,csp,2
tvrR_T2h_csp_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.156,8.342,0.163,"128,294,704.00","113,160,856.00",0.001466715,1,tvrR ,csp,2
tvrR_T2h_csp_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.464,8.342,0.163,"103,458,792.00","113,160,856.00",0.001885464,1,tvrR ,csp,2
tvrR_T2h_csp_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.406,8.342,0.163,"107,729,056.00","113,160,856.00",0.001764295,1,tvrR ,csp,2
tvrR_T2h_csp_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.708,14.788,0.075,"889,980.88","843,314.31",,2,tvrR ,csp,2
tvrR_T2h_csp_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.802,14.788,0.075,"834,891.63","843,314.31",,2,tvrR ,csp,2
tvrR_T2h_csp_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.855,14.788,0.075,"805,070.56","843,314.31",,2,tvrR ,csp,2
tvrR_T2h_csp_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.169,10.108,0.132,"31,373,980.00","32,842,554.00",0.027098406,2,tvrR ,csp,2
tvrR_T2h_csp_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.956,10.108,0.132,"36,416,056.00","32,842,554.00",0.025421032,2,tvrR ,csp,2
