Sample,gene_name,Locus,Scaled reads per base,tpm,Genotype,Timepoint
ERS3382233,NA,IONPJBJN_00009,441.646565930741,306.76334593172,tvr_domi,Pre-CSP
ERS3382234,NA,IONPJBJN_00009,349.267600643686,232.668964162366,tvr_domi,10 min post-CSP
ERS3382235,NA,IONPJBJN_00009,410.293977489749,289.023758456663,tvr_domi,20 min post-CSP
ERS3382236,NA,IONPJBJN_00009,402.971763475715,262.496018069351,tvr_rare,Pre-CSP
ERS3382237,NA,IONPJBJN_00009,320.121169791013,212.072546311837,tvr_rare,10 min post-CSP
ERS3382238,NA,IONPJBJN_00009,295.76238744286,198.590019621547,tvr_rare,20 min post-CSP
ERS3382239,NA,IONPJBJN_00009,364.137444345457,246.93039811679,tvr_domi,Pre-CSP
ERS3382240,NA,IONPJBJN_00009,454.478353057059,303.294051353755,tvr_domi,10 min post-CSP
ERS3382241,NA,IONPJBJN_00009,403.842112960722,271.688229690027,tvr_domi,20 min post-CSP
ERS3382242,NA,IONPJBJN_00009,472.401413089051,318.510881421186,tvr_rare,Pre-CSP
ERS3382243,NA,IONPJBJN_00009,338.371122269694,229.635289393423,tvr_rare,10 min post-CSP
ERS3382244,NA,IONPJBJN_00009,319.997973099521,188.370588216104,tvr_rare,20 min post-CSP
ERS3382227,hsdS_1,IONPJBJN_00010,1509.83336446594,54.8683223806888,tvr_domi,Pre-CSP
ERS3382228,hsdS_1,IONPJBJN_00010,1666.22269939212,60.1581611916982,tvr_domi,10 min post-CSP
ERS3382229,hsdS_1,IONPJBJN_00010,1599.02792173459,57.5686608514491,tvr_domi,20 min post-CSP
ERS3382230,hsdS_1,IONPJBJN_00010,1638.77461965572,59.2521537634542,tvr_rare,Pre-CSP
ERS3382231,hsdS_1,IONPJBJN_00010,1717.76500163197,61.815289472989,tvr_rare,10 min post-CSP
ERS3382232,hsdS_1,IONPJBJN_00010,1624.8213286365,58.8697114018081,tvr_rare,20 min post-CSP
ERS3382233,hsdS_1,IONPJBJN_00010,1674.23288683325,60.0932476579522,tvr_domi,Pre-CSP
ERS3382234,hsdS_1,IONPJBJN_00010,1484.6525143411,54.002118863171,tvr_domi,10 min post-CSP
ERS3382235,hsdS_1,IONPJBJN_00010,1384.30990875247,49.7006786899243,tvr_domi,20 min post-CSP
ERS3382236,hsdS_1,IONPJBJN_00010,1685.6703103898,60.6334982975814,tvr_rare,Pre-CSP
ERS3382237,hsdS_1,IONPJBJN_00010,1610.15027114841,58.503628181229,tvr_rare,10 min post-CSP
ERS3382238,hsdS_1,IONPJBJN_00010,1387.07877831548,50.3454103696309,tvr_rare,20 min post-CSP
ERS3382239,hsdS_1,IONPJBJN_00010,1590.0345678408,57.3782316637466,tvr_domi,Pre-CSP
ERS3382240,hsdS_1,IONPJBJN_00010,1579.83505549322,57.1494721010773,tvr_domi,10 min post-CSP
ERS3382241,hsdS_1,IONPJBJN_00010,1511.93400237444,54.6643676982991,tvr_domi,20 min post-CSP
ERS3382242,hsdS_1,IONPJBJN_00010,1863.38245075981,67.42520112902,tvr_rare,Pre-CSP
ERS3382243,hsdS_1,IONPJBJN_00010,1551.51030953233,56.1575080435358,tvr_rare,10 min post-CSP
ERS3382244,hsdS_1,IONPJBJN_00010,1411.35351691202,51.5479979423035,tvr_rare,20 min post-CSP
ERS3382227,NA,IONPJBJN_00011,678.864957877588,103.656851162314,tvr_domi,Pre-CSP
ERS3382228,NA,IONPJBJN_00011,777.566433280487,123.206431919969,tvr_domi,10 min post-CSP
ERS3382229,NA,IONPJBJN_00011,854.836310418588,140.007176032704,tvr_domi,20 min post-CSP
ERS3382230,NA,IONPJBJN_00011,871.383996841073,144.385816433021,tvr_rare,Pre-CSP
ERS3382231,NA,IONPJBJN_00011,926.560427907907,143.315348479448,tvr_rare,10 min post-CSP
ERS3382232,NA,IONPJBJN_00011,634.108385443441,100.307705059037,tvr_rare,20 min post-CSP
ERS3382233,NA,IONPJBJN_00011,704.671631862827,108.312501490331,tvr_domi,Pre-CSP
ERS3382234,NA,IONPJBJN_00011,705.383585613718,105.924103011011,tvr_domi,10 min post-CSP
ERS3382235,NA,IONPJBJN_00011,860.032553876307,137.09626033704,tvr_domi,20 min post-CSP
ERS3382236,NA,IONPJBJN_00011,886.148534947563,143.446288571331,tvr_rare,Pre-CSP
ERS3382237,NA,IONPJBJN_00011,833.275010606398,125.791856244464,tvr_rare,10 min post-CSP
ERS3382238,NA,IONPJBJN_00011,756.345919590718,115.837390002666,tvr_rare,20 min post-CSP
ERS3382239,NA,IONPJBJN_00011,790.50090766134,122.536083854161,tvr_domi,Pre-CSP
ERS3382240,NA,IONPJBJN_00011,802.543058203602,123.890930683724,tvr_domi,10 min post-CSP
ERS3382241,NA,IONPJBJN_00011,790.61659742549,119.886671592652,tvr_domi,20 min post-CSP
ERS3382242,NA,IONPJBJN_00011,913.158712382663,141.702893442392,tvr_rare,Pre-CSP
ERS3382243,NA,IONPJBJN_00011,832.55252552904,125.970305692194,tvr_rare,10 min post-CSP
ERS3382244,NA,IONPJBJN_00011,602.492999033239,88.9958238175365,tvr_rare,20 min post-CSP
ERS3382227,xerC_1,IONPJBJN_00012,2047.46637651693,64.2940176197091,tvr_domi,Pre-CSP
ERS3382228,xerC_1,IONPJBJN_00012,2103.32867055518,65.4597301797996,tvr_domi,10 min post-CSP
ERS3382229,xerC_1,IONPJBJN_00012,2189.1843250661,67.6593064965814,tvr_domi,20 min post-CSP
ERS3382230,xerC_1,IONPJBJN_00012,2041.60934157628,63.3416299946509,tvr_rare,Pre-CSP
ERS3382231,xerC_1,IONPJBJN_00012,2154.54282370116,67.0241577930178,tvr_rare,10 min post-CSP
ERS3382232,xerC_1,IONPJBJN_00012,2097.97568664911,65.6191750037594,tvr_rare,20 min post-CSP
ERS3382233,xerC_1,IONPJBJN_00012,2691.09974173798,83.5693250407786,tvr_domi,Pre-CSP
ERS3382234,xerC_1,IONPJBJN_00012,2177.78621577828,68.6050743530258,tvr_domi,10 min post-CSP
ERS3382235,xerC_1,IONPJBJN_00012,2430.40381570361,75.2020203680597,tvr_domi,20 min post-CSP
ERS3382236,xerC_1,IONPJBJN_00012,1938.93660107156,59.9967848533148,tvr_rare,Pre-CSP
